video_id,comment_text,like_count,published_at,author,fetched_at
2ohfbahLU1k,Minecraft best Keratr carry dpeie,0,2026-04-13T09:56:13Z,@Carrydpeie,2026-04-13T13:58:15.541156
2ohfbahLU1k,Durban. LOL.      ❤CARRY. WIN🎉❤❤❤,1,2026-04-13T09:36:47Z,@AyushKumar-y3r2e,2026-04-13T13:58:15.541159
2ohfbahLU1k,FACE REVEAL ho gya kya inka??,1,2026-04-13T09:21:52Z,@karimamallick6632,2026-04-13T13:58:15.541160
2ohfbahLU1k,Vbbbnkmj,0,2026-04-13T09:13:31Z,@NaurojAnsari-s9i,2026-04-13T13:58:15.541162
2ohfbahLU1k,Rytj jgh jjj❤️‍🩹🇮🇳,0,2026-04-13T09:13:10Z,@NaurojAnsari-s9i,2026-04-13T13:58:15.541164
2ohfbahLU1k,Congrats for 700 comment,0,2026-04-13T09:07:26Z,@Thewarrior67-p7u,2026-04-13T13:58:15.541167
2ohfbahLU1k,😂😂😂,0,2026-04-13T09:05:20Z,@AKGunda-GMR,2026-04-13T13:58:15.541169
2ohfbahLU1k,Carryintheevol,0,2026-04-13T09:01:06Z,@MenukaShrestha-l8s,2026-04-13T13:58:15.541170
2ohfbahLU1k,10 lakh ka super chat kar dunga dusri video lao,0,2026-04-13T08:58:42Z,@RS_GAME-l8r,2026-04-13T13:58:15.541181
2ohfbahLU1k,Where is saif arhan❤,0,2026-04-13T08:49:37Z,@A.Editz-qu1,2026-04-13T13:58:15.541183
2ohfbahLU1k,Mister doom is not die this is the April fool,0,2026-04-13T08:37:31Z,@ThattiKranthi,2026-04-13T13:58:15.541185
2ohfbahLU1k,Vote for carry face reveal,0,2026-04-13T08:31:55Z,@JitendraGupta-c4g,2026-04-13T13:58:15.541187
2ohfbahLU1k,Guys vote for Durbin smp cracked smp pls 😢,0,2026-04-13T08:27:42Z,@Rajkumardrift,2026-04-13T13:58:15.541189
2ohfbahLU1k,OK. Durbin,0,2026-04-13T08:26:52Z,@RajKumari-d6j6b,2026-04-13T13:58:15.541192
2ohfbahLU1k,Mr doorman is die 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,0,2026-04-13T08:25:57Z,@ThattiKranthi,2026-04-13T13:58:15.541194
2ohfbahLU1k,Carry bhai lekin speed poshan Ka Item aap pichhwade mein se Kyon nikal rahe ho😂😂😂😂,0,2026-04-13T08:23:30Z,@SarthakSpgamer-ox7xx,2026-04-13T13:58:15.541196
2ohfbahLU1k,Carry bhai aap kaise ho aapka first subscriber sabse pahle video mere ko bahut acchi lagi abhi wali video bhi aap mere ghar ke andar diamond bhijwa sakte ho please dur mere ko naukari bilkul bhi Pasand Nahin hai Minecraft is the best scary is the best best best best best best best best best cary Deepa i,0,2026-04-13T08:11:48Z,@UHABrother,2026-04-13T13:58:15.541198
2ohfbahLU1k,Charitable new game kheloge😊😊😊😊❤❤❤,0,2026-04-13T07:55:41Z,@MdNaime-u3q,2026-04-13T13:58:15.541199
2ohfbahLU1k,New game Chhodo aap,0,2026-04-13T07:55:25Z,@MdNaime-u3q,2026-04-13T13:58:15.541202
2ohfbahLU1k,Carried by new game Chhodo aap Bhai Bhai aap new game bnao,0,2026-04-13T07:55:03Z,@MdNaime-u3q,2026-04-13T13:58:15.541203
2ohfbahLU1k,thanks for 61 subscribe,0,2026-04-13T07:44:03Z,@RadhikaAIDI1235,2026-04-13T13:58:15.541205
